index,title,keywords,cast,director,Img_links,Synopsys
851,The Fan,sport luck san francisco giants child custody baseball pitcher,Robert De Niro Wesley Snipes Ellen Barkin John Leguizamo Benicio del Toro,Tony Scott,"https://m.media-amazon.com/images/M/MV5BNjFlN2VjNjYtZDdjOS00ZGI3LTg1MWQtZTBhNmRjNDFiZDE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An all star baseball player becomes the unhealthy focus of a down on his luck salesman.
852,The Phantom of the Opera,dancing obsession auction wheelchair rose,Gerard Butler Emmy Rossum Patrick Wilson Miranda Richardson Minnie Driver,Joel Schumacher,"https://m.media-amazon.com/images/M/MV5BNDczNzg4OTM3MV5BMl5BanBnXkFtZTcwOTQzMTEzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.
853,Elizabeth: The Golden Age,england assassination spain virgin colony,Cate Blanchett Clive Owen Geoffrey Rush Laurence Fox Tom Hollander,Shekhar Kapur,"https://m.media-amazon.com/images/M/MV5BMTgzODIwNzcyMF5BMl5BanBnXkFtZTcwMTg0MTQ1MQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","A mature Queen Elizabeth endures multiple crises late in her reign including court intrigues, an assassination plot, the Spanish Armada, and romantic disappointments."
854,Æon Flux,martial arts dystopia surrealism based on cartoon shootout,Charlize Theron Marton Csokas Jonny Lee Miller Sophie Okonedo Frances McDormand,Karyn Kusama,"https://m.media-amazon.com/images/M/MV5BMTc2Mzg0NjA2N15BMl5BanBnXkFtZTcwOTc5NjQzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found."
855,Gods and Generals,war battle union soldier confederate soldier american civil war,Stephen Lang Jeff Daniels Robert Duvall Kevin Conway C. Thomas Howell,Ronald F. Maxwell,"https://m.media-amazon.com/images/M/MV5BMTU1NzExNjU3OF5BMl5BanBnXkFtZTYwNzc0MDg5._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The rise and fall of legendary war hero Thomas ""Stonewall"" Jackson as he leads the Confederacy to great success against the Union from 1861 to 1863."
856,Turbulence,stewardess airplane shootout air marshal christmas,Ray Liotta Lauren Holly Brendan Gleeson H\u00e9ctor Elizondo Rachel Ticotin,Robert Butler,"https://m.media-amazon.com/images/M/MV5BYzMxNGY4NWQtYjUxOC00ZWYwLWExZTYtNmEwODg5MzFmZmEyXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","After a shootout on a flight transporting prisoners, a flight attendant must outwit a smooth-talking serial killer and land the plane herself."
857,Imagine That,,Eddie Murphy Thomas Haden Church Yara Shahidi Ronny Cox Stephen Rannazzisi,Karey Kirkpatrick,"https://m.media-amazon.com/images/M/MV5BMjIwMjgwMjg4M15BMl5BanBnXkFtZTcwNTU2ODkzMg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world, where solutions to his problems await."
858,Muppets Most Wanted,musical the muppets,Ricky Gervais Ty Burrell Tina Fey Steve Whitmire Eric Jacobson,James Bobin,"https://m.media-amazon.com/images/M/MV5BNDY2MTE0ODM4NF5BMl5BanBnXkFtZTgwMDI3Mjc2MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick."
859,Thunderbirds,secret organization based on tv series golden gate bridge locker oil rig\u00a0,Brady Corbet Soren Fulton Debora Weston Lou Hirsch Alex Barringer,Jonathan Frakes,"https://m.media-amazon.com/images/M/MV5BN2Q4Yjk3YzQtZWNlYi00MzdhLWJhMjgtNTYwNGY4YTU5YzIxXkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In the future, the Tracy family run a private mechanized emergency response service."
860,Burlesque,musical los angeles burlesque burlesque dancer,Cher Christina Aguilera Eric Dane Cam Gigandet Julianne Hough,Steve Antin,"https://m.media-amazon.com/images/M/MV5BMjM1ZmI4NmUtMDJmMC00N2NkLTg1NGYtMDUyZDZlMmExNGNiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.
861,A Very Long Engagement,paris prostitute loss of lover amnesia bodily disabled person,Audrey Tautou Gaspard Ulliel Dominique Pinon Chantal Neuwirth Andr\u00e9 Dussollier,Jean-Pierre Jeunet,"https://m.media-amazon.com/images/M/MV5BZWI4ZTgwMzktNjk3Yy00OTlhLTg3YTAtMTA1MWVlMWJiOTRiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
862,Lolita,sexual obsession hotel depression loss of mother small town,James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell,Stanley Kubrick,"https://m.media-amazon.com/images/M/MV5BOGNkZDU0YjktN2Q5Zi00MmY0LWI3Y2YtNmQzOGQxY2UzNGM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A man marries his landlady so he can take advantage of her daughter.
863,D-Tox,alcoholism serial killer hospital police officer detox,Sylvester Stallone Courtney B. Vance Tom Berenger Charles S. Dutton Jeffrey Wright,Jim Gillespie,"https://m.media-amazon.com/images/M/MV5BODEzNWMxMzktOTFlYy00NmQ3LWFkODctYzliMmZlOWVmMjJjXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.
864,Blade II,katana mutation vampire silver superhero,Wesley Snipes Kris Kristofferson Ron Perlman Leonor Varela Norman Reedus,Guillermo del Toro,"https://m.media-amazon.com/images/M/MV5BOWVjZTIzNDYtNTBlNC00NTJjLTkzOTEtOTE0MjlhYzI2YTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires."
865,Seven Pounds,vegetarian tax collector pianist blind organ transplant,Will Smith Rosario Dawson Sarah Jane Morris Woody Harrelson Michael Ealy,Gabriele Muccino,"https://m.media-amazon.com/images/M/MV5BMTU0NzY0MTY5OF5BMl5BanBnXkFtZTcwODY3MDEwMg@@._V1_UY268_CR9,0,182,268_AL__QL50.jpg",A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
866,Bullet to the Head,,Sylvester Stallone Sung Kang Sarah Shahi Adewale Akinnuoye-Agbaje Jason Momoa,Walter Hill,"https://m.media-amazon.com/images/M/MV5BMTM4NzUyMjk2NV5BMl5BanBnXkFtZTcwOTUxNDc5OA@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","After watching their respective partners die, a New Orleans hitman and a Washington, D.C. detective form an alliance in order to bring down their common enemy."
867,The Godfather: Part III,italy christianity new york assassination italo-american,Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola,Francis Ford Coppola,"https://m.media-amazon.com/images/M/MV5BNTc1YjhiNzktMjEyNS00YmNhLWExYjItZDhkNWJjZjYxOWZiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing."
868,Elizabethtown,suicide hotel room suicide attempt new love funeral,Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill,Cameron Crowe,"https://m.media-amazon.com/images/M/MV5BZjM5ZmNlZTAtMzljNC00NTk3LTlhMTAtNTY3ZWNmMmVmOWJjXkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess."
869,"You, Me and Dupree",roommate love of one's life newlywed,Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen,Anthony Russo,"https://m.media-amazon.com/images/M/MV5BMTUxOTg0MzczOV5BMl5BanBnXkFtZTcwODk1MTQzMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance."
870,Superman II,saving the world dc comics sequel superhero based on comic book,Gene Hackman Christopher Reeve Ned Beatty Jackie Cooper Sarah Douglas,Richard Lester,"https://m.media-amazon.com/images/M/MV5BMWUzNDJjMDUtNGEzMi00YThlLTlkMmEtNjVlOGQwOWM3MjM3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth."
871,Gigli,new york mentally disabled kidnapping blackmail mission of murder,Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito,Martin Brest,"https://m.media-amazon.com/images/M/MV5BMTE5MTYxMDg5NV5BMl5BanBnXkFtZTYwNjc5MzQ3._V1_UY268_CR14,0,182,268_AL__QL50.jpg",Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.
872,All the King's Men,corruption journalist based on novel blackmail manipulation,Sean Penn Jude Law Kate Winslet James Gandolfini Patricia Clarkson,Steven Zaillian,None,Add a Plot »
873,Shaft,corruption black people italo-american brother sister relationship drug dealer,Samuel L. Jackson Jeffrey Wright Christian Bale Busta Rhymes Dan Hedaya,John Singleton,"https://m.media-amazon.com/images/M/MV5BNmExNGZmYzItZTMzMi00YWJjLWJkYmQtMDg5MjgzYjYyZDk1XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death."
874,Anastasia,tzar musical russian revolution train explosion foreign language adaptation,Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria,Gary Goldman,"https://m.media-amazon.com/images/M/MV5BNGJiNWFlYTMtZTBiZi00ZTVmLWJmZmMtNzEzYzZjNzYzZmRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
875,Moulin Rouge!,duke musical writer's block music terminal illness,Nicole Kidman Ewan McGregor John Leguizamo Jim Broadbent Richard Roxburgh,Baz Luhrmann,"https://m.media-amazon.com/images/M/MV5BMWFhYjliNjYtYjNhNS00OGExLWFhMjQtNDgwOWYyNWJiYzhmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A poet falls for a beautiful courtesan whom a jealous duke covets.
876,Domestic Disturbance,menace adoption dangerous adoptive father threat to death,John Travolta Vince Vaughn Teri Polo Matt O'Leary Steve Buscemi,Harold Becker,"https://m.media-amazon.com/images/M/MV5BNGI0YTcyYTItYTA0Ni00ZTlkLWI2NTUtZWFhYmVjZGFmOGMwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","When Danny witnesses his stepfather Rick murder a man, Danny's father Frank has to protect his son from the greatest danger."
877,Black Mass,boston based on true story organized crime,Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon,Scott Cooper,"https://m.media-amazon.com/images/M/MV5BNzg0ODI3NDQxNF5BMl5BanBnXkFtZTgwMzgzNDA0NjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
878,Flags of Our Fathers,world war ii dying and death pacific iwo jima aftercreditsstinger,Ryan Phillippe Adam Beach Jesse Bradford John Benjamin Hickey John Slattery,Clint Eastwood,"https://m.media-amazon.com/images/M/MV5BMTU2MjYxMjMyMF5BMl5BanBnXkFtZTYwMzAwMDc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II."
879,Law Abiding Citizen,tattoo secret passage baseball bat deal explosion,Jamie Foxx Gerard Butler Colm Meaney Bruce McGill Leslie Bibb,F. Gary Gray,"https://m.media-amazon.com/images/M/MV5BMTMyODY1NTg1N15BMl5BanBnXkFtZTcwMTUyODI4Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.
880,Grindhouse,exploitation slasher zombie killer,Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier,Robert Rodriguez,"https://m.media-amazon.com/images/M/MV5BMjA0MzExNzc3MV5BMl5BanBnXkFtZTcwODAxMzM0MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.
881,Beloved,,Oprah Winfrey Danny Glover Thandie Newton Lisa Gay Hamilton Albert Hall,Jonathan Demme,"https://m.media-amazon.com/images/M/MV5BYTZlMDFkYjItMjgxYi00MDNhLTg0NDYtNDY1NzJkNDg0MGQ4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Based on the book by Toni Morrison, in which a slave is visited by the spirit of a mysterious young woman"
882,Lucky You,poker sport las vegas,Eric Bana Drew Barrymore Robert Duvall Debra Messing Robert Downey Jr.,Curtis Hanson,"https://m.media-amazon.com/images/M/MV5BNzcyMzgwNzU2N15BMl5BanBnXkFtZTcwMDcyODYzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A hotshot poker player tries to win a tournament in Vegas, but is fighting a losing battle with his personal problems."
883,Catch Me If You Can,con man biography fbi agent overhead camera shot attempted jailbreak,Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen Nathalie Baye,Steven Spielberg,"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
884,Zero Dark Thirty,assassination cia hotel terrorist prisoner,Jessica Chastain Jason Clarke Mark Strong Joel Edgerton Chris Pratt,Kathryn Bigelow,"https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
885,The Break-Up,bowling chicago american football flat baseball,Vince Vaughn Jennifer Aniston Joey Lauren Adams Cole Hauser Jon Favreau,Peyton Reed,"https://m.media-amazon.com/images/M/MV5BOTM1YjVhNTMtZTEyZi00ODk3LWI4NDItZWUyZTA1ODM3Zjk4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment."
886,Mamma Mia!,single parent greece musical daughter single,Meryl Streep Pierce Brosnan Amanda Seyfried Colin Firth Stellan Skarsg\u00e5rd,Phyllida Lloyd,"https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
887,Valentine's Day,flower married couple florist kiss single,Jessica Alba Jessica Biel Bradley Cooper Eric Dane Patrick Dempsey,Garry Marshall,None,"Max, Lamar, and Trevor look for Valentines Day dates."
888,The Dukes of Hazzard,sheriff farm bikini redneck moonshine,Johnny Knoxville Seann William Scott Jessica Simpson Willie Nelson Burt Reynolds,Jay Chandrasekhar,"https://m.media-amazon.com/images/M/MV5BMjAwOTYxODI4OV5BMl5BanBnXkFtZTcwNDYxODIzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane."
889,The Thin Red Line,based on novel japanese world war ii battle assignment invasion,Sean Penn Adrien Brody Jim Caviezel Ben Chaplin George Clooney,Terrence Malick,"https://m.media-amazon.com/images/M/MV5BYjEzMTM2NjAtNWFmZC00MTVlLTgyMmQtMGQyNTFjZDk5N2NmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
890,The Change-Up,jealousy chance wish change man change,Olivia Wilde Ryan Reynolds Jason Bateman Leslie Mann Mircea Monroe,David Dobkin,"https://m.media-amazon.com/images/M/MV5BMTk3NTM4NDg3OF5BMl5BanBnXkFtZTcwNDk3MzEwNQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies."
891,Man on the Moon,show business comedian wrestling,Jim Carrey Courtney Love Bob Zmuda Danny DeVito Gerry Becker,Milo\u0161 Forman,"https://m.media-amazon.com/images/M/MV5BNDI1Mjc3MzAtZDk0OS00OTZlLTlhZjktNzA3ODgwZGY2NWIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",The life and career of legendary comedian Andy Kaufman.
892,Casino,poker drug abuse 1970s overdose illegal prostitution,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Martin Scorsese,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
893,From Paris with Love,paris cia undercover explosive pimp,John Travolta Jonathan Rhys Meyers Kasia Smutniak Richard Durden Bing Yin,Pierre Morel,"https://m.media-amazon.com/images/M/MV5BODAwMDFjNjktMWY2Mi00MmVhLWI0MjYtNzg4OTI0NzA5YzBjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city."
894,Bulletproof Monk,monk homeless person injection fall knife fight,Seann William Scott Jaime King Karel Roden Chow Yun-fat K. C. Collins,Paul Hunter,"https://m.media-amazon.com/images/M/MV5BMTEwODkxNzE4NzVeQTJeQWpwZ15BbWU3MDY5NDYwMzQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Based on the very underground comic book, a Tibetan monk becomes a mentor to a young street kid whom he can teach to protect a scroll."
